"District","IRN","District Square Mileage FY17","District Pupil Density FY17","District Total Average Daily Membership FY17","District Total Year-End Enrollment FY17","District Asian Students As % Of Total FY17","District Pacific Islander Students As % Of Total FY17","District Black Students As % Of Total FY17","District American Indian/ Alaskan Native Students As % Of Total FY17","District Hispanic Students As % Of Total FY17","District White Students As % Of Total FY17","District Multiracial Students As % Of Total FY17","District Percent Of Disadvantaged Students  FY17","District Percent Of Students With Limited English Proficiency FY17","District Percent Of Students With Disability FY17","District Classroom Teacher Average Salary FY17","District Percent Of Teachers With 0-4 Years Experience FY17","District Percent Of Teachers With 4-10 Years Experience FY17","District Percent Of Teachers With 10+ Years Experience FY17","District FTE Number Of Administrators FY17","District Administrator Average Salary FY17","District Pupil Administrator Ratio FY17","District Assessed Valuation Per Pupil FY18","District Res/Agr Real Valuation As % Of Total FY18","District All Other Real Valuation As % Of Total FY18","District Public Utility Tangible Valuation As % Of Total FY18","District Business Valuation As % Of Total FY18","District Per Pupil Revenue Raised By 1 Mill Of Property Tax FY18","District Total Property Tax Per Pupil FY18","District Rollback Homestead Per Pupil FY17","District OSFC 3-Year Valuation Per Pupil FY18","District Ranking Of OSFC Valuation Per Pupil FY18","District Median Income TY15","District Average Income TY15","District Current Operating Millage Incl JVS FY18","District Class 1 Effective Millage Incl JVS FY18","District Class 2 Effective Millage Incl JVS FY18","District Inside Millage FY18","District Income Tax Per Pupil FY17","District Local Tax Effort Index FY17","District Administrative Expenditure Per Pupil FY17","District Building Operation Expenditure Per Pupil FY17","District Instructional Expenditure Per Pupil FY17","District Pupil Support Expenditure Per Pupil FY17","District Staff Support Expenditure Per Pupil FY17","District Total Expenditure Per Pupil FY17","District State Revenue Per Pupil FY17","District State Revenue As % Of Total FY17","District Local Revenue Per Pupil FY17","District Local Revenue As % Of Total FY17","District Other Non-Tax Revenue Per Pupil FY17","District Othe Non-Tax Revenue as % of Total FY17","District Federal Revenue Per Pupil FY17","District Federal Revenue As % Of Total FY17","District Total Revenue Per Pupil FY17","District Formula Funding Per Pupil FY17","District Formula Funding As % Of Income Tax Liability FY17","District Salaries As % Of Operating Expenditures FY17","District Fringe Benefits As % Of Operating Expenditures FY17","District Purchased Services As % Of Operating Expenditures FY17","District Supplies & Materials As % Of Operating Expenditures FY17","District Other Expenses As % Of Operating Expenditures FY17"
"Strongsville City SD, Cuyahoga","44842.0","25.0","217.93","5448.27","5306.05","0.0592","0.0006","0.0268","0.0007","0.0426","0.8296","0.0404","0.204","0.0365","0.1062","86012.08","0.2324","0.1735","0.5941","36.3","70090.05","147.6","269116.95","0.7496","0.2258","0.0246","0.2504","269.12","11164.12","1217.21","275469.32","587.0","45352.0","79921.0","80.18","39.49","43.88","5.6","0.0","0.7788","1861.57","2674.22","6982.2","876.51","442.56","12837.06","3605.55","0.2455","9545.91","0.6499","1052.36","0.0716","485.42","0.033","14689.24","1559.19","0.1811","0.5873","0.246","0.1135","0.0343","0.0189"
"Struthers City SD, Mahoning","44859.0","6.0","288.03","1728.15","1834.33","0.0033","0.0","0.0639","0.0028","0.0659","0.8011","0.063","0.596","0.0052","0.1203","67343.7","0.3289","0.2148","0.4564","11.3","74128.34","148.87","80851.17","0.8341","0.1001","0.0659","0.1659","80.85","3262.3","545.01","65133.61","32.0","27111.0","38628.0","62.7","37.47","49.61","3.9","0.0","1.0892","1402.23","2084.91","6627.0","583.57","270.24","10967.96","7569.21","0.613","2376.31","0.1925","1275.09","0.1033","1126.78","0.0913","12347.4","7221.01","3.3775","0.5628","0.2009","0.2046","0.0223","0.0094"
"Stryker Local SD, Williams","50658.0","51.0","9.24","471.2","378.05","0.0053","0.0019","0.0079","0.0","0.1091","0.8573","0.0185","0.4844","0.0028","0.1206","45828.25","0.4762","0.1667","0.3571","4.6","62668.65","99.12","155690.87","0.7969","0.0761","0.127","0.2031","155.69","4694.28","610.35","126699.07","245.0","31328.0","43666.0","43.6","27.63","34.09","4.0","1832.33","1.9746","2124.31","2393.89","6990.26","335.73","78.52","11922.86","9574.17","0.5203","6205.14","0.3372","1274.67","0.0693","1347.55","0.0732","18401.52","5516.11","2.3089","0.4412","0.1799","0.3193","0.0471","0.0125"
"Sugarcreek Local SD, Greene","47274.0","29.0","90.51","2624.66","2534.99","0.02","0.0011","0.0368","0.0015","0.0366","0.8702","0.0337","0.1582","0.0153","0.0972","65808.61","0.1676","0.185","0.6474","11.5","105138.7","223.0","198788.25","0.8504","0.1163","0.0332","0.1496","198.79","8039.35","909.71","215544.92","539.0","51954.0","103759.0","62.0","39.6","40.45","4.5","0.0","0.6803","1263.75","2013.9","6535.14","531.55","603.9","10948.26","3197.33","0.2727","7054.99","0.6017","936.31","0.0798","537.42","0.0458","11726.05","2158.21","0.2878","0.6103","0.2054","0.1418","0.0347","0.0077"
"Swanton Local SD, Fulton","47092.0","43.0","31.35","1348.09","1213.95","0.0015","0.0023","0.0223","0.0019","0.064","0.8734","0.0345","0.4145","0.003","0.1765","52719.36","0.27","0.23","0.5","11.9","72391.01","105.97","137463.98","0.8368","0.1246","0.0385","0.1632","137.46","4216.31","600.7","144289.91","350.0","36547.0","55134.0","57.95","29.04","33.23","2.8","1278.26","1.131","1698.67","2067.6","6122.33","669.14","470.52","11028.26","5253.91","0.4137","5141.64","0.4048","1439.08","0.1133","865.83","0.0682","12700.46","3853.94","1.0314","0.5452","0.1942","0.2147","0.0321","0.0138"
"Switzerland Of Ohio Local SD, Monroe","48652.0","546.0","4.3","2349.93","2172.44","0.0013","0.0","0.0095","0.0002","0.0058","0.9717","0.0115","0.6069","0.0013","0.2079","42421.18","0.2606","0.1809","0.5585","18.0","53610.94","130.03","276143.99","0.4752","0.1975","0.3273","0.5248","276.14","7735.77","426.85","171904.65","448.0","32053.0","58492.0","35.4","20.0","35.05","3.9","0.0","0.5633","2146.79","3454.7","6614.79","550.77","627.48","13394.56","7042.62","0.4273","7647.51","0.464","686.63","0.0417","1105.74","0.0671","16482.51","4662.02","1.238","0.4688","0.2661","0.2125","0.0383","0.0143"
"Sycamore Community City SD, Hamilton","44867.0","17.0","312.55","5313.27","5249.31","0.1577","0.0","0.0766","0.0005","0.0603","0.6396","0.0654","0.1467","0.0658","0.0959","69854.65","0.3245","0.133","0.5426","28.1","98251.06","187.27","320034.65","0.6255","0.3483","0.0262","0.3745","320.03","13874.24","882.93","341478.67","596.0","56952.0","128431.0","73.15","38.11","50.52","4.63","0.0","0.4163","1543.01","2434.56","8587.41","1000.41","434.97","14000.38","3200.25","0.1986","11270.77","0.6994","1190.75","0.0739","452.77","0.0281","16114.54","543.89","0.0447","0.6357","0.2111","0.09","0.0327","0.0305"
"Sylvania City SD, Lucas","44875.0","29.0","266.04","7715.04","7559.45","0.046","0.0003","0.0486","0.0006","0.0432","0.8275","0.0339","0.2147","0.0229","0.1229","64746.92","0.2633","0.2765","0.4602","48.3","93070.33","159.7","180884.86","0.7577","0.2181","0.0242","0.2423","180.88","9089.45","1052.34","183081.12","482.0","44726.0","88055.0","81.8","48.52","52.75","5.0","0.0","0.6747","1662.65","2079.88","6651.09","615.13","245.7","11254.46","3420.54","0.2791","7843.73","0.6401","467.77","0.0382","522.5","0.0426","12254.54","2012.28","0.2725","0.574","0.2568","0.1119","0.0401","0.0171"
"Symmes Valley Local SD, Lawrence","47969.0","150.0","4.62","693.65","729.46","0.0","0.0","0.0","0.0","0.0005","0.9975","0.002","0.9171","0.0","0.1862","48251.7","0.3881","0.1493","0.4627","9.1","60218.97","72.32","94377.57","0.8652","0.0136","0.1212","0.1348","94.38","2089.78","278.14","75184.19","55.0","32962.0","46342.0","23.1","22.0","22.7","4.9","0.0","0.7257","2181.0","3364.54","7028.69","484.14","188.66","13247.07","10100.97","0.6533","1674.71","0.1083","2408.74","0.1558","1276.54","0.0826","15460.96","11900.5","5.6708","0.5272","0.2135","0.1594","0.0828","0.0171"
"Talawanda City SD, Butler","46151.0","138.0","21.92","3024.72","2838.77","0.0244","0.0018","0.0176","0.001","0.0192","0.9092","0.0268","0.3669","0.0196","0.0957","63775.25","0.1538","0.1641","0.6821","16.0","81580.38","181.44","232630.57","0.7388","0.1917","0.0695","0.2612","232.63","5905.53","645.6","241103.67","569.0","35827.0","60207.0","50.23","22.81","26.32","2.19","2110.26","1.2323","1415.55","2400.68","7103.76","661.95","405.84","11987.77","3468.53","0.2651","7884.9","0.6027","1156.4","0.0884","572.55","0.0438","13082.38","2758.89","0.5615","0.5484","0.1915","0.2138","0.0224","0.0239"
"Tallmadge City SD, Summit","44883.0","14.0","178.5","2498.94","2306.08","0.012","0.0017","0.0455","0.0013","0.0278","0.8605","0.0512","0.2161","0.0137","0.1231","61423.25","0.3642","0.3272","0.3086","18.0","86010.17","138.83","154259.05","0.8033","0.1802","0.0165","0.1967","154.26","6493.67","959.79","154680.34","404.0","37465.0","60317.0","66.14","40.34","47.72","5.4","0.0","0.913","1549.62","2215.06","7247.1","569.44","172.82","11754.07","5056.53","0.409","6130.89","0.4959","624.19","0.0505","551.02","0.0446","12362.63","2995.26","0.6503","0.5414","0.215","0.2037","0.0175","0.0224"
"Teays Valley Local SD, Pickaway","49098.0","152.0","25.79","3919.4","3878.33","0.0067","0.0","0.0121","0.0005","0.02","0.9357","0.025","0.3068","0.003","0.109","63694.86","0.2426","0.1617","0.5957","23.1","89317.58","166.09","129223.07","0.806","0.0995","0.0945","0.194","129.22","2885.85","392.43","129634.6","269.0","41130.0","59003.0","24.7","22.0","22.77","1.4","1687.52","1.1776","1232.92","1880.85","5807.88","390.1","130.78","9442.54","5337.42","0.496","4136.59","0.3844","747.45","0.0695","538.85","0.0501","10760.31","4617.59","1.5694","0.6158","0.2033","0.1358","0.0337","0.0114"
"Tecumseh Local SD, Clark","46243.0","43.0","69.76","2999.53","2970.65","0.0024","0.001","0.0085","0.0017","0.1381","0.8144","0.034","0.592","0.0855","0.1359","57233.58","0.2253","0.1264","0.6484","14.0","87167.93","208.71","93506.12","0.8433","0.1121","0.0446","0.1567","93.51","3129.23","510.28","89495.5","90.0","30875.0","47435.0","39.6","32.91","35.18","5.8","0.0","0.9335","1138.53","2070.57","5864.83","620.81","299.59","9994.35","7058.82","0.6109","2557.01","0.2213","867.2","0.0751","1071.15","0.0927","11554.18","6664.46","2.6747","0.5654","0.2479","0.1435","0.0338","0.0093"
"Three Rivers Local SD, Hamilton","47399.0","24.0","82.25","1973.95","2022.5","0.0092","0.0","0.0082","0.0002","0.0199","0.92","0.0425","0.3779","0.0033","0.1637","59086.47","0.1842","0.1842","0.6316","13.5","93108.0","141.65","189354.64","0.7481","0.093","0.1589","0.2519","189.35","6684.89","701.08","213462.57","535.0","45084.0","83347.0","47.6","32.04","40.56","3.4","0.0","0.476","1306.41","1960.76","5480.85","640.74","363.57","9752.34","3540.87","0.2884","5651.77","0.4604","2228.93","0.1816","855.45","0.0697","12277.02","2280.46","0.283","0.5641","0.2035","0.1781","0.0412","0.0131"
"Tiffin City SD, Seneca","44891.0","41.0","69.69","2857.22","2577.14","0.0096","0.0007","0.0144","0.0","0.0456","0.8868","0.0428","0.46","0.0068","0.1645","49291.5","0.4","0.15","0.45","21.0","70179.05","132.8","126483.2","0.7364","0.1578","0.1058","0.2636","126.48","4602.37","498.23","117013.61","196.0","30045.0","45640.0","54.67","31.35","47.62","4.0","0.0","0.9217","1053.08","1430.92","4954.0","548.32","311.44","8297.75","5889.61","0.4966","4243.12","0.3578","917.25","0.0773","809.86","0.0683","11859.84","3783.94","1.2511","0.5036","0.1615","0.2906","0.026","0.0184"
"Tipp City Ex Vill SD, Miami","45617.0","28.0","86.46","2421.01","2434.48","0.0125","0.0","0.007","0.0012","0.022","0.9384","0.0188","0.1524","0.0113","0.1294","57815.19","0.1829","0.2073","0.6098","15.5","82428.19","153.81","166732.86","0.7759","0.1987","0.0253","0.2241","166.73","7073.26","807.48","161407.61","418.0","40476.0","76221.0","55.05","41.85","43.04","5.4","0.0","0.8633","1276.49","1412.61","5894.99","472.26","245.32","9301.69","4030.44","0.3517","5934.69","0.5179","1090.58","0.0952","403.44","0.0352","11459.14","2977.53","0.5862","0.5909","0.2002","0.1005","0.0405","0.0678"
"Toledo City SD, Lucas","44909.0","70.0","459.9","32192.83","22807.46","0.0049","0.0005","0.4321","0.001","0.1042","0.3603","0.0971","0.8611","0.0159","0.209","56743.61","0.3208","0.1096","0.5696","4.4","3845130.95","7308.06","70458.98","0.6272","0.2981","0.0747","0.3728","70.46","3436.45","379.89","64821.19","31.0","26024.0","38539.0","66.28","41.79","59.07","3.6","0.0","1.0154","1963.36","2620.21","7486.09","823.33","688.08","13581.07","12041.38","0.6286","4323.93","0.2257","560.77","0.0293","2229.67","0.1164","19155.76","5299.91","2.9943","0.4597","0.1864","0.3138","0.0249","0.0153"
"Toronto City SD, Jefferson","44917.0","5.0","163.08","815.38","931.02","0.0075","0.0011","0.0165","0.0021","0.0086","0.9099","0.0543","0.5841","0.0","0.1124","44631.45","0.2097","0.1613","0.629","6.2","74798.5","127.33","104554.32","0.6309","0.1254","0.2437","0.3691","104.55","2908.75","369.12","72708.24","48.0","30743.0","45014.0","39.72","22.59","31.0","5.15","0.0","0.4984","1504.12","1679.42","4880.93","297.78","88.21","8450.47","7294.67","0.6313","2059.14","0.1782","1392.89","0.1205","807.93","0.0699","11554.63","7835.83","3.0796","0.5024","0.2293","0.188","0.0498","0.0305"
"Tri-County North Local SD, Preble","91397.0","58.0","15.82","917.41","833.41","0.0012","0.0007","0.0048","0.0012","0.014","0.9548","0.0234","0.3952","0.0","0.0799","53954.18","0.2535","0.1127","0.6338","6.3","67963.81","135.06","147938.49","0.8566","0.0861","0.0573","0.1434","147.94","5222.85","647.79","144037.75","349.0","32302.0","48287.0","42.23","34.17","41.94","4.4","1104.85","1.9532","1355.07","1743.45","6475.97","766.07","462.16","10802.76","6375.89","0.451","6202.73","0.4388","871.95","0.0617","685.69","0.0485","14136.27","4533.17","1.5928","0.5356","0.225","0.1814","0.04","0.0179"
"Tri-Valley Local SD, Muskingum","48876.0","230.0","13.21","3037.35","3026.84","0.0063","0.0","0.0093","0.0013","0.0109","0.9325","0.0397","0.3705","0.0007","0.1469","52567.67","0.474","0.1445","0.3815","20.1","73201.69","147.05","136802.62","0.6578","0.1467","0.1955","0.3422","136.8","3552.75","298.81","112961.84","177.0","33385.0","51872.0","38.75","22.47","24.63","4.45","0.0","0.7065","1394.47","1844.74","5722.7","267.09","7.23","9236.21","6871.31","0.6394","2883.46","0.2683","404.87","0.0377","586.09","0.0545","10745.73","5193.24","1.906","0.5036","0.2154","0.1468","0.0336","0.1006"
"Tri-Village Local SD, Darke","46680.0","86.0","8.32","715.66","808.09","0.0","0.0","0.0012","0.005","0.0086","0.9634","0.0218","0.3772","0.0025","0.0956","46317.86","0.3585","0.2453","0.3962","9.2","50894.06","74.19","185160.32","0.7849","0.0243","0.1907","0.2151","185.16","4331.11","464.82","136218.09","309.0","31736.0","46859.0","27.68","22.36","23.08","4.8","1691.75","2.0465","1185.09","1666.42","4625.99","567.72","360.06","8405.28","5775.49","0.4504","4538.16","0.3539","1876.07","0.1463","634.27","0.0495","12823.99","6776.33","3.0163","0.5397","0.2029","0.1842","0.0387","0.0345"
"Triad Local SD, Champaign","46201.0","83.0","11.21","930.08","833.6","0.0024","0.0024","0.004","0.0024","0.0184","0.9426","0.0278","0.3921","0.0","0.1426","50775.23","0.2568","0.1216","0.6216","11.4","63082.54","78.58","141925.71","0.9298","0.0359","0.0344","0.0702","141.93","3178.19","379.2","132155.7","286.0","38606.0","54114.0","27.6","22.0","27.6","5.0","1936.36","1.447","1903.55","2426.11","5046.12","210.82","268.91","9855.56","7222.2","0.5074","5055.68","0.3552","1274.14","0.0895","681.34","0.0479","14233.36","5058.38","1.7415","0.4571","0.1489","0.3367","0.0458","0.0115"
"Trimble Local SD, Athens","45922.0","39.0","20.85","813.23","814.25","0.0012","0.0","0.0055","0.0","0.0025","0.9643","0.0265","0.9991","0.0","0.2126","51213.85","0.2353","0.1471","0.6176","7.5","71172.5","105.58","54666.1","0.8279","0.0573","0.1147","0.1721","54.67","1262.11","214.09","46342.01","6.0","28379.0","36323.0","30.7","22.05","22.8","3.9","0.0","0.6711","1507.54","2819.52","8727.91","476.52","409.57","13941.08","12473.46","0.746","979.1","0.0586","1049.16","0.0628","2217.72","0.1326","16719.44","12250.25","9.6114","0.5199","0.2681","0.1714","0.0304","0.0102"
"Triway Local SD, Wayne","50591.0","97.0","17.58","1704.8","1609.37","0.0041","0.0","0.0057","0.0012","0.0215","0.9491","0.0184","0.3695","0.0069","0.1111","54634.19","0.1364","0.2576","0.6061","13.2","69610.38","124.16","166659.12","0.8032","0.1189","0.0778","0.1968","166.66","4845.16","520.11","157743.84","409.0","33891.0","53512.0","49.85","26.55","32.51","4.4","1071.99","1.2115","1052.92","2000.56","7253.81","379.69","633.95","11320.97","5129.31","0.4179","5381.05","0.4385","916.52","0.0747","846.0","0.0689","12272.89","4148.86","1.1558","0.5386","0.2887","0.1334","0.0262","0.0132"
"Trotwood-Madison City SD, Montgomery","48694.0","31.0","107.74","3339.92","2586.97","0.0008","0.0","0.8766","0.0004","0.0114","0.0665","0.0444","1.0","0.0047","0.1719","57630.1","0.2703","0.1838","0.5459","36.0","78492.55","91.51","63336.61","0.6954","0.2473","0.0573","0.3046","63.34","2795.64","485.74","63085.75","26.0","24708.0","35186.0","51.52","41.86","48.83","6.2","0.0","1.1059","1943.54","2434.75","6511.31","836.64","442.11","12168.36","11278.05","0.6793","2873.13","0.1731","550.02","0.0331","1900.35","0.1145","16601.56","6212.12","4.4165","0.4942","0.1693","0.2727","0.0288","0.035"
"Troy City SD, Miami","44925.0","39.0","116.92","4559.76","4126.87","0.0307","0.0029","0.0468","0.001","0.0311","0.8274","0.0601","0.3463","0.0214","0.1028","60910.54","0.2278","0.2028","0.5694","27.0","95580.93","161.26","151306.03","0.7262","0.2392","0.0346","0.2738","151.31","4221.88","411.04","149997.92","379.0","37203.0","62581.0","54.1","23.83","36.49","4.5","2370.21","1.1317","1368.86","1763.32","6856.88","511.26","323.65","10823.96","4442.34","0.3583","6284.45","0.5069","816.61","0.0659","855.07","0.069","12398.47","2360.85","0.5167","0.5649","0.2345","0.1615","0.0267","0.0125"
"Tuscarawas Valley Local SD, Tuscarawas","50302.0","95.0","15.02","1426.58","1334.37","0.0037","0.0007","0.0071","0.0","0.015","0.9568","0.0166","0.2709","0.0015","0.0989","50836.37","0.2211","0.2105","0.5684","9.2","54136.41","148.62","164811.83","0.8231","0.1075","0.0694","0.1769","164.81","6063.96","591.74","150269.05","382.0","36936.0","61207.0","43.3","36.26","36.71","5.0","0.0","0.9973","1190.39","1902.52","6027.81","367.25","389.66","9877.61","5222.32","0.4177","5445.75","0.4356","1193.67","0.0955","641.09","0.0513","12502.83","3752.03","0.8416","0.5247","0.2153","0.2029","0.0415","0.0156"
"Tuslaw Local SD, Stark","49957.0","45.0","30.63","1378.31","1371.97","0.0015","0.0","0.0058","0.0","0.0061","0.9678","0.0188","0.2884","0.0001","0.111","50222.15","0.1915","0.1915","0.617","10.9","64807.3","119.71","144766.67","0.837","0.072","0.091","0.163","144.77","4705.65","569.35","137775.54","318.0","36791.0","61254.0","62.1","28.49","41.78","5.6","0.0","0.7229","1196.26","1729.53","4761.97","500.03","301.26","8489.07","4972.41","0.4545","3909.42","0.3574","1500.28","0.1371","557.85","0.051","10939.95","4781.85","1.032","0.5313","0.2319","0.1837","0.0283","0.0247"
"Twin Valley Community Local, Preble","49296.0","60.0","14.53","871.64","836.75","0.0","0.0","0.0012","0.0","0.0054","0.9789","0.0145","0.4545","0.0056","0.128","48059.36","0.3108","0.1486","0.5405","5.0","78781.2","166.93","148343.18","0.8755","0.045","0.0795","0.1245","148.34","3820.27","450.27","135110.32","305.0","31984.0","48767.0","39.43","24.32","29.5","4.4","1907.23","1.9049","1665.84","2121.04","5987.38","288.58","259.65","10322.45","6084.7","0.448","5348.18","0.3938","1316.37","0.0969","831.4","0.0612","13580.64","5374.86","2.0541","0.5516","0.2469","0.1444","0.0285","0.0286"
"Twinsburg City SD, Summit","50070.0","23.0","178.74","4110.98","4066.83","0.0888","0.0007","0.2409","0.0018","0.0268","0.5897","0.0513","0.1813","0.0274","0.1069","74375.06","0.1322","0.2819","0.5859","44.6","68380.61","91.3","199227.85","0.7031","0.2728","0.0242","0.2969","199.23","7941.3","801.49","205224.27","523.0","47320.0","74304.0","62.52","37.76","43.27","4.97","0.0","0.7323","1489.94","1875.42","6690.28","696.67","180.27","10932.56","3391.46","0.3029","6884.83","0.615","557.38","0.0498","361.69","0.0323","11195.36","1166.29","0.2018","0.6059","0.2413","0.1123","0.0217","0.0188"
"Union Local SD, Belmont","46011.0","148.0","9.69","1433.47","1468.7","0.0007","0.0","0.0017","0.0","0.0016","0.9872","0.0089","0.3909","0.0","0.1497","53246.72","0.1287","0.099","0.7723","33.0","42467.88","41.9","184109.59","0.5598","0.3813","0.059","0.4402","184.11","4193.92","334.06","121667.5","220.0","35009.0","63973.0","29.95","22.36","22.28","4.65","0.0","0.5624","1030.41","1803.17","5906.65","435.17","306.64","9482.05","5848.56","0.5106","3474.71","0.3033","1261.65","0.1101","869.93","0.0759","11454.86","5806.63","1.3648","0.5602","0.2504","0.1569","0.0209","0.0116"
"Union Scioto Local SD, Ross","49536.0","63.0","29.8","1877.5","2077.57","0.0064","0.0001","0.0171","0.0028","0.0187","0.8928","0.062","0.4725","0.0004","0.1094","54669.4","0.2153","0.2917","0.4931","9.1","79504.3","195.9","109233.28","0.8462","0.1192","0.0346","0.1538","109.23","2503.53","299.5","89058.61","89.0","34351.0","57215.0","36.0","22.36","23.1","4.5","713.78","0.8507","1017.34","1754.16","5933.78","447.92","289.5","9442.71","5452.23","0.4915","2415.61","0.2178","2224.13","0.2005","1001.04","0.0902","11093.01","6353.97","1.9276","0.5125","0.247","0.1914","0.0305","0.0186"
"United Local SD, Columbiana","46458.0","81.0","13.81","1118.33","1160.29","0.0017","0.0","0.0067","0.0001","0.0058","0.9677","0.018","0.3763","0.0003","0.1215","53927.14","0.1458","0.2708","0.5833","9.7","72657.78","112.18","153920.81","0.7455","0.1193","0.1352","0.2545","153.92","3540.22","378.65","124396.27","233.0","33483.0","50797.0","29.4","22.0","22.0","3.3","692.12","1.012","1502.56","2123.47","6103.68","397.09","135.47","10262.26","6290.39","0.5373","3305.7","0.2823","1428.73","0.122","683.05","0.0583","11707.87","6619.84","2.3328","0.5338","0.2474","0.1658","0.0393","0.0137"
"Upper Arlington City SD, Franklin","44933.0","10.0","580.81","5808.08","5706.7","0.0644","0.0005","0.0088","0.0","0.0282","0.8426","0.0554","0.0089","0.0163","0.1407","81475.0","0.0949","0.2053","0.6998","35.0","101933.29","165.92","297559.94","0.9096","0.0757","0.0147","0.0904","297.56","13818.56","1671.19","312526.78","594.0","68258.0","155603.0","102.11","44.72","56.27","5.65","0.0","0.5829","1667.98","1792.81","10007.87","1024.52","713.53","15206.71","2306.47","0.141","12518.41","0.7652","1186.16","0.0725","349.24","0.0213","16360.28","418.0","0.0302","0.6066","0.2158","0.1362","0.0258","0.0156"
"Upper Sandusky Ex Vill SD, Wyandot","45625.0","214.0","7.87","1684.43","1556.98","0.0077","0.0","0.0045","0.0016","0.0595","0.9091","0.0177","0.3809","0.0238","0.1428","56292.38","0.2","0.0435","0.7565","12.0","72449.67","137.38","176857.29","0.8229","0.1341","0.043","0.1771","176.86","3981.6","410.01","157496.0","407.0","32814.0","50557.0","35.3","21.6","24.01","4.8","1925.36","1.5179","1778.59","2069.98","5804.35","505.29","551.51","10709.75","5309.47","0.4187","5651.6","0.4457","1000.71","0.0789","717.85","0.0566","12679.63","3719.08","1.2268","0.5645","0.2602","0.1239","0.0186","0.0328"
"Upper Scioto Valley Local SD, Hardin","47522.0","98.0","6.39","626.14","440.14","0.0","0.0","0.0043","0.0","0.0273","0.9337","0.0347","0.554","0.0109","0.1942","45124.7","0.2791","0.186","0.5349","8.8","48854.43","66.93","183966.54","0.9328","0.019","0.0482","0.0672","183.97","4516.83","541.81","153465.07","398.0","31118.0","44868.0","30.9","24.2","25.76","3.6","599.87","1.9636","2116.04","3203.71","6361.1","421.07","212.67","12314.56","10697.18","0.552","5985.87","0.3089","1091.12","0.0563","1605.28","0.0828","19379.45","5809.9","2.4422","0.4513","0.176","0.3282","0.0259","0.0186"
"Urbana City SD, Champaign","44941.0","53.0","41.65","2207.67","1943.2","0.0062","0.001","0.0352","0.0005","0.0253","0.854","0.0778","0.5543","0.0022","0.174","56289.12","0.2318","0.1457","0.6225","16.3","70893.22","132.32","124822.5","0.7446","0.207","0.0485","0.2554","124.82","4688.24","532.0","117030.65","197.0","29518.0","45488.0","66.55","32.98","47.23","3.9","0.0","1.1177","1412.25","1678.37","7279.93","992.75","374.95","11738.27","7062.09","0.5055","4670.88","0.3343","1259.35","0.0901","979.35","0.0701","13971.66","4357.59","1.6993","0.4815","0.1909","0.2911","0.0248","0.0117"
"Valley Local SD, Scioto","49643.0","49.0","17.62","863.37","1022.23","0.002","0.0","0.0068","0.0","0.006","0.9561","0.0291","0.5241","0.0","0.1457","54958.13","0.3235","0.3529","0.3235","8.2","74973.55","100.47","95067.89","0.8233","0.0604","0.1163","0.1767","95.07","2180.61","271.31","71580.83","43.0","34011.0","55034.0","29.58","22.0","22.92","4.21","0.0","0.6115","1418.7","2154.86","6142.98","451.42","219.4","10387.36","9029.32","0.6595","1387.52","0.1013","2336.81","0.1707","936.9","0.0684","13690.55","10634.01","4.2212","0.502","0.1857","0.2544","0.039","0.0189"
"Valley View Local SD, Montgomery","48744.0","61.0","30.83","1880.44","1816.47","0.0062","0.0","0.0125","0.0033","0.0215","0.9362","0.0203","0.3072","0.0043","0.1435","59925.71","0.2444","0.3704","0.3852","11.0","57933.82","165.25","126920.92","0.8726","0.0568","0.0706","0.1274","126.92","3726.72","500.18","128622.28","262.0","38703.0","59379.0","38.11","28.54","31.1","4.46","1798.57","1.3609","801.73","2317.94","6717.93","1056.79","158.68","11053.06","5638.6","0.486","4885.21","0.421","481.8","0.0415","597.06","0.0515","11602.67","4397.18","1.306","0.5302","0.2128","0.2297","0.0185","0.0086"
"Van Buren Local SD, Hancock","47464.0","48.0","19.78","949.48","1040.35","0.028","0.0","0.0029","0.001","0.0307","0.9161","0.0214","0.1567","0.0089","0.0796","54316.56","0.2683","0.1098","0.622","13.3","63173.94","71.39","283302.56","0.5883","0.3646","0.0472","0.4117","283.3","7537.38","619.72","234878.22","563.0","44541.0","76245.0","34.88","23.58","30.42","5.3","0.0","0.4785","1292.97","2334.49","6874.28","530.58","354.76","11387.06","3134.15","0.2704","6285.27","0.5423","1828.19","0.1577","342.59","0.0296","11590.19","1000.44","0.1636","0.5261","0.2105","0.2053","0.0367","0.0214"
"Van Wert City SD, Van Wert","44966.0","71.0","31.86","2262.32","2037.44","0.0042","0.0","0.0102","0.0009","0.0504","0.8897","0.0446","0.4904","0.0039","0.1722","51162.2","0.2867","0.1608","0.5524","9.0","81313.0","243.06","114626.64","0.7824","0.1753","0.0422","0.2176","114.63","3081.93","421.63","102121.48","134.0","30071.0","45414.0","47.1","22.03","43.71","4.3","1171.4","1.2581","1300.12","1728.94","6324.05","917.23","316.31","10586.66","6844.79","0.5267","4051.46","0.3117","1240.65","0.0955","859.63","0.0661","12996.53","4872.45","2.0618","0.5229","0.2273","0.2131","0.0221","0.0145"
