"District","IRN","District Square Mileage FY13","District Pupil Density FY13","District Total Average Daily Membership FY13","District Total Year-End Enrollment FY13","District Asian Students As % Of Total FY13","District Black Students As % Of Total FY13","District American Indian/ Alaskan Native Students As % Of Total FY13","District Hispanic Students As % Of Total FY13","District White Students As % Of Total FY13","District Multiracial Students As % Of Total FY13","District Percent Of Students In Poverty FY13","District Percent Of Students With Limited English Proficiency FY13","District Percent Of Students With Disability FY13","District Classroom Teacher Average Salary FY13","District Percent Of Teachers With 0-4 Years Experience FY13","District Percent Of Teachers With 4-10 Years Experience FY13","District Percent Of Teachers With 10+ Years Experience FY13","District K-12 Regular Education Pupil Teacher Ratio FY08","District FTE Number Of Administrators FY13","District Administrator Average Salary FY13","District Pupil Administrator Ratio FY13","District Assessed Valuation Per Pupil FY14","District Res/Agr Real Valuation As % Of Total FY14","District All Other Real Valuation As % Of Total FY14","District Public Utility Tangible Valuation As % Of Total FY14","District Business Valuation As % Of Total FY14","District Per Pupil Revenue Raised By 1 Mill Of Property Tax FY14","District Total Property Tax Per Pupil FY14","District Rollback Homestead Per Pupil FY13","District OSFC 3-Year Valuation Per Pupil FY14","District Ranking Of OSFC Valuation Per Pupil FY14","District Median Income TY11","District Average Income TY11","District Current Operating Millage Incl JVS FY14","District Class 1 Effective Millage Incl JVS FY14","District Class 2 Effective Millage Incl JVS FY14","District Inside Millage FY14","District Income Tax Per Pupil FY13","District Local Tax Effort Index FY13","District Administrative Expenditure Per Pupil FY13","District Building Operation Expenditure Per Pupil FY13","District Instructional Expenditure Per Pupil FY13","District Pupil Support Expenditure Per Pupil FY13","District Staff Support Expenditure Per Pupil FY13","District Total Expenditure Per Pupil FY13","District State Revenue Per Pupil FY13","District State Revenue As % Of Total FY13","District Local Revenue Per Pupil FY13","District Local Revenue As % Of Total FY13","District Other Non-Tax Revenue Per Pupil FY13","District Othe Non-Tax Revenue as % of Total FY13","District Federal Revenue Per Pupil FY13","District Federal Revenue As % Of Total FY13","District Total Revenue Per Pupil FY13","District Formula Funding Per Pupil FY13","District Formula Funding As % Of Income Tax Liability FY13","District Salaries As % Of Operating Expenditures FY13","District Fringe Benefits As % Of Operating Expenditures FY13","District Purchased Services As % Of Operating Expenditures FY13","District Supplies & Materials As % Of Operating Expenditures FY13","District Other Expenses As % Of Operating Expenditures FY13"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ada Ex Vill SD, Hardin","45187.0","43.0","20.76","892.81","895.11","0.0098","0.0163","0.0","0.0119","0.9495","0.0125","0.328","0.0123","0.0942","50576.76","0.3774","0.0943","0.5283","17.85","9.2","67227.28","95.55","103302.79","0.8385","0.1272","0.0343","0.1615","103.3","2311.97","394.41","96837.96","146.0","30105.0","45373.0","38.5","21.72","22.41","5.9","886.9","1.0551","1203.63","1724.62","5314.12","354.42","184.23","8781.0","4682.11","0.5158","2827.93","0.3115","964.29","0.1062","603.37","0.0665","9077.69","4235.4","1.3394","0.5712","0.2356","0.1393","0.0189","0.0351"
"Adena Local SD, Ross","49494.0","128.0","9.52","1218.66","1216.12","0.0008","0.0187","0.0011","0.0028","0.9407","0.0358","0.4393","0.0","0.1136","53215.46","0.1111","0.254","0.6349","19.43","10.0","68623.2","116.36","94484.31","0.9196","0.0429","0.0376","0.0804","94.48","2204.39","290.23","90595.23","113.0","33334.0","44865.0","38.0","22.65","24.98","4.1","168.81","0.8601","1123.02","1740.89","5015.48","275.54","241.07","8396.0","5822.63","0.617","1875.28","0.1987","968.88","0.1027","770.06","0.0816","9436.86","5235.57","1.9229","0.5472","0.216","0.1886","0.0368","0.0115"
"Akron City SD, Summit","43489.0","55.0","498.96","27442.92","21858.04","0.0466","0.4592","0.0011","0.0319","0.3884","0.0727","0.9998","0.0481","0.1918","62947.12","0.155","0.176","0.669","16.84","142.0","84278.14","193.26","88083.25","0.7016","0.2586","0.0398","0.2984","88.08","4793.64","517.01","93952.63","134.0","24287.0","36847.0","76.0","50.44","61.92","4.2","0.0","1.4088","1841.24","2413.53","7639.98","926.55","561.7","13383.0","7982.17","0.5243","4441.35","0.2917","728.14","0.0478","2072.56","0.1361","15224.22","4237.26","1.7716","0.5105","0.229","0.2264","0.0225","0.0116"
"Alexander Local SD, Athens","45906.0","174.0","9.54","1659.83","1618.33","0.0","0.0031","0.0006","0.0037","0.9704","0.0221","0.5139","0.0","0.1817","50618.03","0.1802","0.2613","0.5586","17.35","8.76","79946.55","184.77","115741.09","0.7604","0.0494","0.1902","0.2396","115.74","2899.83","315.25","111870.47","234.0","31255.0","45895.0","37.0","22.07","25.04","3.9","0.0","0.6843","1123.04","2143.48","5255.65","340.77","164.08","9027.0","6381.8","0.5881","2521.9","0.2324","937.08","0.0864","1010.51","0.0931","10851.28","5753.97","1.778","0.4995","0.1935","0.2311","0.0544","0.0215"
"Allen East Local SD, Allen","45757.0","73.0","14.99","1094.39","1134.66","0.0019","0.0075","0.0007","0.0118","0.9695","0.0085","0.3787","0.0","0.1022","47648.89","0.209","0.209","0.5821","18.19","5.0","73508.2","210.99","103115.68","0.9201","0.034","0.0459","0.0799","103.12","2566.46","411.32","104186.77","187.0","34922.0","48004.0","31.65","24.55","24.88","5.05","0.0","0.7377","1064.65","1706.04","4160.47","319.89","227.94","7479.0","4668.65","0.5611","2085.84","0.2507","1017.55","0.1223","548.81","0.066","8320.86","4240.63","1.3403","0.5633","0.209","0.1733","0.0322","0.0223"
"Alliance City SD, Stark","43497.0","12.0","263.56","3162.74","2826.47","0.0068","0.1263","0.0007","0.023","0.7133","0.1299","0.7782","0.0042","0.1809","50977.04","0.364","0.1464","0.4895","19.43","29.34","59049.2","107.8","70288.09","0.6855","0.2641","0.0504","0.3145","70.29","2403.61","356.62","75185.09","56.0","23491.0","36528.0","55.6","31.82","36.27","3.8","0.0","0.8703","1266.91","1900.59","6522.17","484.67","312.68","10487.0","7049.27","0.5949","2304.22","0.1945","820.14","0.0692","1675.31","0.1414","11848.94","5142.88","2.3145","0.5774","0.2076","0.1769","0.0275","0.0107"
"Amanda-Clearcreek Local SD, Fairfield","46847.0","98.0","16.85","1651.25","1699.61","0.0024","0.0065","0.0012","0.0077","0.9721","0.0102","0.3791","0.0","0.1145","47040.07","0.1837","0.2143","0.602","18.67","14.43","62645.25","110.72","92435.68","0.933","0.035","0.032","0.067","92.44","2079.77","284.34","91769.92","122.0","34510.0","47921.0","37.0","22.02","22.03","4.7","899.91","1.1353","993.37","1903.05","4580.08","383.55","96.93","7957.0","5634.21","0.5753","2475.12","0.2527","1018.23","0.104","666.34","0.068","9793.9","5683.55","1.984","0.5385","0.1858","0.2024","0.0505","0.0228"
"Amherst Ex Vill SD, Lorain","45195.0","19.0","215.94","4102.88","3907.25","0.0094","0.0216","0.0037","0.1237","0.8067","0.0349","0.2536","0.0087","0.153","61891.32","0.1457","0.2065","0.6478","20.92","15.53","91912.6","257.66","129967.32","0.7926","0.1834","0.024","0.2074","129.97","5004.98","619.14","147158.6","412.0","37625.0","54693.0","70.1","37.36","39.36","5.2","0.0","0.7753","996.46","1637.65","5440.87","456.81","374.2","8906.0","4400.24","0.4496","4069.59","0.4158","884.09","0.0903","434.02","0.0443","9787.95","3444.02","0.7798","0.5911","0.2407","0.1221","0.0288","0.0174"
"Anna Local SD, Shelby","49759.0","68.0","18.03","1226.3","1223.22","0.0078","0.0031","0.0","0.0061","0.9646","0.0184","0.1356","0.0","0.1005","58951.91","0.0833","0.1806","0.7361","20.24","7.14","68497.62","169.06","115158.3","0.7615","0.215","0.0234","0.2385","115.16","2740.83","264.65","119586.01","283.0","40547.0","53728.0","33.1","22.64","26.9","5.5","1413.15","1.1292","1045.1","1609.49","5202.17","376.22","133.03","8366.0","4027.01","0.441","3658.59","0.4007","1109.85","0.1215","335.99","0.0368","9131.44","3521.41","1.1017","0.6078","0.2021","0.126","0.0472","0.0169"
"Ansonia Local SD, Darke","46623.0","65.0","9.68","629.3","693.28","0.0","0.0013","0.0","0.0179","0.9759","0.0049","0.3663","0.0","0.1532","48941.56","0.1552","0.1897","0.6552","14.76","3.33","91918.32","185.14","100418.37","0.8997","0.0561","0.0442","0.1003","100.42","2314.59","326.72","79023.66","67.0","30698.0","38694.0","34.88","22.47","23.09","4.8","1584.58","1.8324","1204.31","2037.49","6053.86","432.47","448.85","10177.0","5724.11","0.4983","3178.17","0.2767","1720.54","0.1498","864.28","0.0752","11487.1","6522.33","2.8742","0.5758","0.2011","0.1651","0.0323","0.0257"
"Anthony Wayne Local SD, Lucas","48207.0","74.0","60.39","4469.1","4301.87","0.0158","0.013","0.0014","0.0389","0.91","0.0209","0.1532","0.003","0.0894","58193.17","0.185","0.2643","0.5507","21.47","20.0","88136.5","215.17","181460.35","0.8572","0.1211","0.0217","0.1428","181.46","5517.22","732.17","225213.71","558.0","49365.0","82044.0","64.5","29.54","30.38","2.1","0.0","0.5344","1045.09","1822.16","4956.19","467.84","175.72","8467.0","2468.89","0.3013","4871.94","0.5946","546.65","0.0667","305.94","0.0373","8193.42","1057.42","0.121","0.6142","0.2242","0.113","0.0293","0.0194"
"Antwerp Local SD, Paulding","48991.0","65.0","9.79","636.46","666.9","0.006","0.0045","0.0015","0.0228","0.9378","0.0274","0.3529","0.0","0.164","47394.64","0.1818","0.0682","0.75","17.58","8.7","61473.47","71.41","100430.96","0.8836","0.0794","0.037","0.1164","100.43","2410.66","378.96","92471.67","129.0","31913.0","43263.0","40.7","22.39","34.23","3.9","1590.47","1.3634","1251.1","1972.32","5328.92","110.4","318.29","8981.0","5311.74","0.5244","3314.46","0.3272","1072.87","0.1059","429.25","0.0424","10128.34","4256.66","1.5015","0.4934","0.2051","0.1373","0.0415","0.1228"
"Arcadia Local SD, Hancock","47415.0","61.0","8.26","503.79","558.92","0.0054","0.0072","0.0018","0.0428","0.9137","0.0292","0.3481","0.0","0.0927","48868.83","0.3182","0.1591","0.5227","18.62","4.16","77119.28","121.1","163419.48","0.7566","0.0991","0.1443","0.2434","163.42","4774.42","517.87","128407.81","318.0","34064.0","52624.0","31.67","28.81","28.76","5.1","1473.19","1.3988","1387.85","2048.07","5225.34","417.83","360.92","9440.0","3769.65","0.3234","5204.34","0.4464","2045.57","0.1755","637.7","0.0547","11657.27","3947.38","0.8651","0.545","0.2017","0.1784","0.0497","0.0252"
"Arcanum Butler Local SD, Darke","46631.0","60.0","17.5","1050.08","1098.47","0.0067","0.0055","0.0018","0.0091","0.9532","0.0237","0.2543","0.0009","0.1053","52755.94","0.2029","0.1449","0.6522","16.76","8.82","78856.46","113.7","108692.14","0.9065","0.0414","0.0521","0.0935","108.69","2468.27","445.04","112312.16","237.0","32625.0","45337.0","26.18","22.46","23.89","4.9","1581.82","1.4378","966.89","1496.6","5161.14","231.83","421.54","8278.0","4280.87","0.4493","3402.11","0.3571","1425.02","0.1496","419.05","0.044","9527.04","4395.65","1.459","0.5548","0.1876","0.1917","0.0365","0.0294"
"Archbold-Area Local SD, Fulton","47043.0","78.0","16.56","1291.84","1255.31","0.0096","0.003","0.0","0.1804","0.7866","0.0205","0.2831","0.0088","0.1007","55791.53","0.0917","0.2","0.7083","17.0","9.74","53089.36","128.07","151660.14","0.6475","0.3064","0.0461","0.3525","151.66","4800.31","462.06","174883.4","478.0","34663.0","53046.0","43.76","27.77","38.04","2.2","0.0","0.7469","1033.23","1521.94","6052.93","696.22","340.71","9645.0","4204.29","0.4314","4196.69","0.4306","803.34","0.0824","542.19","0.0556","9746.51","1481.89","0.3525","0.5704","0.2193","0.1609","0.0307","0.0187"
"Arlington Local SD, Hancock","47423.0","57.0","10.28","586.0","566.92","0.0","0.0051","0.0","0.0088","0.9698","0.0162","0.2651","0.0","0.1692","47058.79","0.2623","0.1148","0.623","16.17","6.17","66929.16","94.98","121799.27","0.9207","0.0521","0.0273","0.0793","121.8","2478.25","340.38","113012.2","241.0","36732.0","50822.0","31.4","20.04","20.05","5.4","1773.29","1.1392","1333.71","1714.02","6374.99","496.93","272.33","10192.0","5487.75","0.4876","4119.31","0.366","1059.45","0.0941","587.68","0.0522","11254.2","4362.23","1.0904","0.5784","0.2148","0.164","0.0313","0.0114"
"Ashland City SD, Ashland","43505.0","76.0","45.94","3491.18","3301.8","0.0109","0.0089","0.001","0.0167","0.9217","0.0409","0.431","0.0076","0.1164","51359.4","0.2408","0.2367","0.5224","17.98","21.0","67981.95","162.71","127905.34","0.7271","0.2343","0.0386","0.2729","127.91","4844.73","576.52","133219.05","344.0","28316.0","44827.0","64.6","35.12","42.04","4.0","0.0","1.0434","1323.33","1505.19","6027.95","460.43","238.11","9555.0","4261.79","0.4191","4351.86","0.4279","589.16","0.0579","967.05","0.0951","10169.86","2533.02","0.641","0.5528","0.2562","0.1444","0.029","0.0176"
"Ashtabula Area City SD, Ashtabula","43513.0","62.0","71.31","4421.35","3623.87","0.0039","0.0771","0.0007","0.1147","0.6975","0.1062","0.7278","0.0508","0.2077","52223.69","0.1356","0.161","0.7034","17.77","24.39","59171.22","176.73","98950.66","0.7017","0.2263","0.072","0.2983","98.95","2639.68","410.86","100111.19","161.0","25084.0","39707.0","44.11","24.42","28.12","4.2","0.0","0.8079","1183.5","1987.12","5506.35","571.29","298.73","9547.0","6957.33","0.6029","2543.36","0.2204","306.12","0.0265","1732.27","0.1501","11539.08","4611.71","1.8445","0.4794","0.2337","0.2509","0.0218","0.0142"
"Athens City SD, Athens","43521.0","89.0","27.92","2484.85","2636.81","0.0498","0.0224","0.0011","0.0248","0.8625","0.0394","0.3551","0.0228","0.1697","58787.23","0.439","0.1805","0.3805","15.76","17.0","78859.76","144.19","206013.07","0.6591","0.2888","0.0521","0.3409","206.01","6406.13","641.78","179541.97","490.0","27223.0","48976.0","59.99","29.29","30.0","4.0","1408.8","1.5165","1273.39","2037.89","7692.05","824.53","293.13","12121.0","3539.39","0.2923","6447.03","0.5324","1290.03","0.1065","833.01","0.0688","12109.46","3536.31","0.6804","0.596","0.256","0.1064","0.0237","0.0179"
"Aurora City SD, Portage","49171.0","24.0","119.75","2874.02","2818.86","0.0247","0.0352","0.0","0.0176","0.9052","0.0172","0.1011","0.0082","0.087","68777.24","0.0489","0.2717","0.6793","19.8","10.5","89728.57","273.72","204102.48","0.8043","0.1795","0.0162","0.1957","204.1","9138.64","1086.37","224781.06","556.0","49723.0","98894.0","75.38","44.15","44.8","5.6","0.0","0.6454","1353.87","1900.3","6389.18","648.07","412.59","10704.0","2771.29","0.2449","7192.45","0.6356","1092.5","0.0965","260.49","0.023","11316.74","1157.24","0.1155","0.6494","0.2217","0.0789","0.0333","0.0167"
"Austintown Local SD, Mahoning","48298.0","27.0","187.68","5067.35","5285.12","0.0075","0.1022","0.0013","0.0394","0.8208","0.0287","0.4729","0.007","0.126","48174.53","0.4717","0.1941","0.3342","17.48","29.62","58320.31","168.04","115119.19","0.7098","0.2672","0.0229","0.2902","115.12","3824.09","558.12","120981.54","291.0","30311.0","42743.0","56.7","31.63","35.44","6.4","0.0","0.7574","920.29","1489.55","4726.27","563.77","192.12","7892.0","3959.51","0.4567","3004.03","0.3465","983.12","0.1134","722.69","0.0834","8669.36","3292.73","0.9405","0.5625","0.1976","0.2027","0.0253","0.0119"
"Avon Lake City SD, Lorain","48124.0","11.0","338.34","3721.79","3574.53","0.0109","0.0114","0.0008","0.0233","0.9289","0.0247","0.0819","0.0034","0.1035","64755.95","0.1172","0.1967","0.6862","19.02","14.33","91959.56","258.0","211000.37","0.8143","0.1142","0.0714","0.1857","211.0","7949.89","928.85","242892.69","582.0","51343.0","88795.0","61.88","34.67","44.01","4.2","0.0","0.6028","1255.17","2117.93","6647.94","1148.38","304.59","11474.0","2127.15","0.2062","6928.63","0.6717","772.37","0.0749","486.15","0.0471","10314.3","239.64","0.0244","0.597","0.2411","0.101","0.0366","0.0243"
"Avon Local SD, Lorain","48116.0","21.0","200.0","4199.98","4056.3","0.0317","0.0343","0.0","0.0345","0.8769","0.0226","0.1063","0.015","0.1015","53467.39","0.7117","0.1622","0.1261","20.82","17.0","86530.76","245.0","174000.14","0.7528","0.2313","0.0158","0.2472","174.0","6533.23","766.14","211715.02","537.0","57901.0","86567.0","53.17","37.8","35.65","5.8","0.0","0.6075","905.89","1166.87","5035.98","298.05","178.21","7585.0","1653.96","0.198","5622.32","0.673","797.94","0.0955","280.21","0.0335","8354.43","725.67","0.1045","0.567","0.2303","0.1335","0.0476","0.0216"
"Ayersville Local SD, Defiance","46706.0","52.0","11.88","617.99","776.32","0.0039","0.0052","0.0","0.0925","0.8844","0.0141","0.3208","0.0","0.0816","55388.43","0.1538","0.1538","0.6923","17.88","4.36","85446.46","137.47","146156.3","0.7382","0.165","0.0968","0.2618","146.16","4854.06","517.45","106472.9","199.0","34074.0","49255.0","44.48","29.35","43.88","5.0","1352.81","1.236","1205.76","1666.28","6027.17","454.68","439.11","9793.0","3972.69","0.3649","4239.65","0.3894","2119.48","0.1947","555.73","0.051","10887.56","4525.26","1.1121","0.592","0.1974","0.1562","0.0307","0.0237"
"Barberton City SD, Summit","43539.0","9.0","452.58","4073.26","3738.87","0.006","0.109","0.0028","0.0137","0.8237","0.0447","0.7081","0.0064","0.1785","58218.25","0.0726","0.1734","0.754","17.19","24.0","70276.29","169.72","87152.52","0.7732","0.1971","0.0297","0.2268","87.15","2980.35","473.43","92158.07","126.0","25674.0","35397.0","52.66","31.53","41.88","4.3","0.0","1.0927","1126.58","1743.29","6365.92","581.45","433.76","10251.0","6368.26","0.5424","2743.28","0.2336","931.02","0.0793","1699.35","0.1447","11741.91","4673.08","2.2527","0.533","0.2172","0.2194","0.0203","0.01"
"Barnesville Ex Vill SD, Belmont","45203.0","125.0","9.02","1127.16","1175.25","0.0034","0.0011","0.0017","0.0061","0.97","0.0176","0.4266","0.0009","0.1548","45867.68","0.2","0.08","0.72","17.42","5.33","74858.42","200.88","135779.14","0.6304","0.1393","0.2302","0.3696","135.78","3662.27","307.52","102121.14","174.0","29641.0","45817.0","41.9","21.45","27.29","3.9","0.85","0.5301","1015.17","1773.82","5342.08","722.96","261.0","9115.0","5536.41","0.5081","3201.66","0.2938","1194.24","0.1096","964.24","0.0885","10896.55","5728.58","1.4795","0.5324","0.2364","0.1629","0.0461","0.0223"
"Batavia Local SD, Clermont","46300.0","26.0","79.48","2066.52","2131.44","0.0094","0.0236","0.0016","0.0244","0.8808","0.0601","0.452","0.0047","0.1425","54105.4","0.1418","0.2761","0.5821","19.32","13.0","63574.69","153.75","97085.77","0.6891","0.2603","0.0506","0.3109","97.09","3574.79","326.17","113517.69","247.0","34386.0","53995.0","55.05","31.52","47.32","4.3","0.0","0.5632","1115.76","1590.82","4830.64","190.09","23.7","7751.0","4701.3","0.505","3320.01","0.3567","392.8","0.0422","894.77","0.0961","9308.88","3832.48","0.9846","0.5442","0.2009","0.2256","0.0221","0.0072"
"Bath Local SD, Allen","45765.0","46.0","39.34","1809.83","1827.74","0.0174","0.041","0.0005","0.0283","0.894","0.0189","0.5186","0.0066","0.1029","55915.32","0.2091","0.2273","0.5636","21.69","14.0","74344.64","123.93","129822.08","0.6453","0.2527","0.102","0.3547","129.82","4193.38","510.92","136808.86","369.0","32387.0","46772.0","32.3","32.3","32.3","6.15","0.0","0.8526","1140.55","1890.86","5338.28","427.82","186.48","8984.0","3681.84","0.4108","3420.49","0.3817","1154.14","0.1288","705.53","0.0787","8962.0","1911.92","0.5569","0.5621","0.1977","0.1867","0.0305","0.0229"
"Bay Village City SD, Cuyahoga","43547.0","5.0","504.29","2521.47","2461.46","0.014","0.0067","0.0008","0.0203","0.9346","0.0236","0.0839","0.0041","0.1214","70966.66","0.3605","0.1919","0.4477","18.59","15.0","96010.27","168.1","196400.61","0.9618","0.0234","0.0148","0.0382","196.4","10107.84","1473.56","218366.67","551.0","54934.0","99245.0","111.91","50.39","57.64","4.61","0.0","0.791","1792.59","1876.4","6597.62","1068.01","238.36","11573.0","3086.24","0.2356","8991.23","0.6864","672.59","0.0513","348.25","0.0266","13098.31","1456.49","0.1267","0.6282","0.219","0.0989","0.0389","0.0151"
"Beachwood City SD, Cuyahoga","43554.0","5.0","285.48","1427.41","1481.05","0.1496","0.2014","0.0","0.0222","0.5881","0.0387","0.1079","0.0419","0.139","79495.07","0.2345","0.1724","0.5931","13.43","15.0","95956.4","95.16","499316.15","0.4685","0.516","0.0154","0.5315","499.32","19646.31","1428.87","525974.77","608.0","52448.0","118809.0","79.3","35.25","41.87","6.8","0.0","0.4406","3300.65","3748.61","10364.3","1237.68","770.75","19422.0","3661.55","0.1508","16626.16","0.6848","3537.73","0.1457","454.16","0.0187","24279.6","916.55","0.0478","0.5717","0.2045","0.1694","0.0341","0.0204"
"Beaver Local SD, Columbiana","46425.0","112.0","18.47","2068.68","1953.83","0.0026","0.0042","0.0041","0.0044","0.9699","0.0148","0.4066","0.0","0.1606","51148.16","0.186","0.2171","0.5969","17.35","14.3","59160.44","140.17","117393.02","0.7931","0.1569","0.05","0.2069","117.39","3262.47","439.2","116421.24","266.0","33266.0","49670.0","33.7","27.51","27.31","4.6","0.0","0.7558","1008.88","1767.53","5257.25","362.22","134.11","8530.0","5316.84","0.5373","2796.39","0.2826","1020.91","0.1032","761.39","0.0769","9895.53","4277.39","1.1241","0.5217","0.1924","0.2311","0.0361","0.0187"
"Beavercreek City SD, Greene","47241.0","47.0","163.38","7678.94","7244.45","0.0659","0.0361","0.0024","0.0233","0.8355","0.0369","0.1356","0.026","0.1385","63270.54","0.1279","0.2452","0.6269","19.5","32.42","87016.32","233.36","222323.78","0.725","0.253","0.0219","0.275","222.32","7580.27","882.89","232638.28","567.0","49051.0","77039.0","44.4","33.81","34.03","4.6","0.0","0.6022","1129.65","1693.67","6232.44","613.58","200.66","9870.0","2292.89","0.2296","6617.38","0.6625","624.13","0.0625","453.37","0.0454","9987.77","724.04","0.0956","0.5892","0.241","0.0939","0.0277","0.0482"
"Bedford City SD, Cuyahoga","43562.0","20.0","185.99","3719.76","3438.54","0.0048","0.8041","0.0003","0.0283","0.1108","0.0516","0.6537","0.0122","0.1732","63162.65","0.4938","0.2593","0.2469","19.88","29.22","95922.7","127.3","179893.67","0.53","0.4143","0.0557","0.47","179.89","7994.08","665.89","201230.52","524.0","29699.0","39701.0","69.82","39.01","47.97","4.62","0.0","1.1961","2079.0","3350.04","6292.63","741.29","614.04","13077.0","4385.06","0.3133","7842.79","0.5604","766.59","0.0548","1000.34","0.0715","13994.78","1216.84","0.3624","0.5604","0.2046","0.1812","0.0356","0.0181"
